UID,ObsDate,Log,Time,Total.length,Male1ID,FemID,Bird2ID,FemUpDown,Behavior,JulianWeek,OrigLength,Type,CopM,CodedBehav
23,6/24/16,First,0.209,250.02,296,NA,NA,NA,Start,25,53,Mal,Y,t
23,6/24/16,First,7.407,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,8.906,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,15.67,250.02,296,NA,NA,NA,SLAD,25,53,Mal,Y,s
23,6/24/16,First,15.919,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,16.433,250.02,296,NA,NA,NA,HdBw,25,53,Mal,Y,l
23,6/24/16,First,19.434,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,26.027,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,47.8,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,52.963,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,57.966,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,61.514,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,64.477,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,73.985,250.02,296,NA,NA,NA,ALAD,25,53,Mal,Y,a
23,6/24/16,First,75.488,250.02,296,NA,NA,NA,HdBw,25,53,Mal,Y,l
23,6/24/16,First,78.083,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,82.985,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,101.302,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,103.511,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,104.11,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,119.772,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,121.521,250.02,296,NA,NA,NA,HafB,25,53,Mal,Y,k
23,6/24/16,First,127.032,250.02,296,NA,NA,NA,ALAD,25,53,Mal,Y,a
23,6/24/16,First,128.78,250.02,296,NA,NA,NA,HdBw,25,53,Mal,Y,l
23,6/24/16,First,129.033,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,131.89,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,135.543,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,137.548,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,138.397,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,160.573,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,162.075,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,164.11,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,167.078,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,168.572,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,171.073,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,173.572,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,175.115,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,179.087,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,196.149,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,197.606,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,200.607,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,203.666,250.02,296,NA,NA,NA,Bow,25,53,Mal,Y,f
23,6/24/16,First,210.637,250.02,296,NA,NA,NA,ALAD,25,53,Mal,Y,a
23,6/24/16,First,212.616,250.02,296,NA,NA,NA,HdBw,25,53,Mal,Y,l
23,6/24/16,First,216.122,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,221.108,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,222.615,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
23,6/24/16,First,224.628,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,226.637,250.02,296,NA,NA,NA,OthM,25,53,Mal,Y,p
23,6/24/16,First,231.141,250.02,296,NA,NA,NA,Zro,25,53,Mal,Y,w
