UID,Category,ObsDate,Log,Male1ID,FemID,Bird2ID,DisplayShort,DisplayShort_AfterCop,DisplayCode,DisplayCode_AfterCop,Duration,DisplayCode_Raw,DisplayCode_Compressed,DisplayLength,UniqueDisplayElements,Entropy_Unscaled,Entropy_Scaled,Compression_Length,Compression_Ratio
1012,SOLO,2017-10-27,Bare,296,NA,NA,Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;Bow;HafB;Bow;Bow;Bow;Zro;SLAD;HdBw;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro;HafB;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw,NA,DDDDDDDDDDBDEDDDACFDDDDBFFAEDDDDDDBFFF,NA,147.02700000000002,,,38,6,1.713617973343634,0.6629179235155507,24,1.5833333333333333
1013,AUDI,2017-10-27,Bare,296,8400,NA,Taf;Neck;Neck;Bow;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;AttC;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck,NA,JIIDIDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDBFMIIIIIIDDIIIII,NA,223,,,119,6,0.79580659804124,0.30786001646802413,23,5.173913043478261
1014,SOLO,2017-10-27,Bare,296,NA,NA,SLAD;SLAD;ALAD;Bow;ALAD;HdBw;Taf;Taf;Zro;Neck;Neck;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;Zro;Zro;SLAD;Zro;ALAD;HdBw;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;SLAD;Zro,NA,CCBDBFJJAIIDBFFFFAACABFDDDDBFACA,NA,229.883,,,32,7,2.678728908203315,0.9541824894160462,27,1.1851851851851851
1016,AUDI,2017-10-27,FalseLog,980,8200,NA,Othr;Taf;Taf;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Neck;Taf;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Taf;Taf;Neck;Taf,NA,LJJIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIDDDDDDDDBFFFFFFFFFFFFFFFFFFFFFFFFFFFFIIIIIIIIIIIIIIIIJJJJJJJIJIIIIDDDDDDDDDDDDDDDBFFFFFFFFFFFFFFFFFFFFFFFFFFFFIIIJJIJ,NA,247.193,,,155,6,1.896944065294351,0.7338381368260233,34,4.5588235294117645
1018,SOLO,2017-10-27,FalseLog,980,NA,NA,HafB;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;HafB;Zro;Bow;Bow,NA,EDDDBFAAEADD,NA,69.712,,,12,5,2.0545851693377992,0.8848616689990428,16,0.75
1038,SOLO,2017-10-27,Luis,296,NA,NA,SLAD;Zro;Bow;Bow;Bow;ALAD;HdBw;HafB;ALAD;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,CADDDBFEBDDDBFFA,NA,117.428,,,16,6,2.311278124459133,0.8941244307468018,18,0.8888888888888888
1044,AUDI,2017-10-28,Bare,296,8400,NA,Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;Neck;AttC;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf,NA,IIIDDDDDDDIIIIDDDDIIIIIIDDDDDDIIIIIDDDDIIIIDDDDDDIIIIDDDDDDIIIIDDDDDDDDDDDDIIIIIDDDDDDDIIIIDBFFFFIMIIIIIIIHHHHIIIIIIHHHHHHHJJJJJJJJJJ,NA,328.83799999999997,,,133,7,1.8941350901058285,0.6747045324491973,46,2.891304347826087
1046,SOLO,2017-10-28,Bare,296,NA,NA,Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,DDDDBFAAADDDBFFA,NA,67.953,,,16,4,1.8496017527145814,0.9248008763572907,17,0.9411764705882353
105,AUDI,2017-09-18,Bare,296,8300,NA,Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Bow;ALAD;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;HafB;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;HafB;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Taf;Taf;Taf;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Neck;Neck;Taf;Taf;Neck;Neck;Neck;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Taf;Taf;Taf,NA,IDDIIIIIIIIIDDDDDIIDDDIIIIDIIIIDDDDIIIIIIIDDDDDIIDBFFIIIIIIIIIIIIIIIIIIIIIIIDDDDDDDEDDDIIIIDDDIIDDDDIIIDDDIIIDDDIIIIDDDDDDDDDDDDDIIIIIIIIIIDEBFFFFFFDDJJJJHHHHHHHJIIJJIIIDIIIIIIDDIIIIIDIIIIDDDIIIIDDDDDIIIIIDBFFFFFFFFFFFFFFFFFFIHHHHHIIIIIJJJ,NA,381.027,,,239,7,1.927048537342603,0.686428538907437,75,3.1866666666666665
1051,SOLO,2017-10-28,FalseLog,980,NA,NA,Zro;Zro;Othr;SLAD;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;SLAD;Zro;Bow;Bow;Othr;Bow;Bow;ALAD;HdBw;Zro,NA,AALCDDDDBFAACADDLDDBFA,NA,86.87299999999999,,,22,6,2.2998963911678914,0.8897213752718902,20,1.1
