Bands,Alum#,Date Banded,Sex,Age
a/BR®-x/W©,936,26-May-13,Unk,G
a/KY®-KY/KY©,103,30-Jun-16,M,Def
a/LW®-LW/LW© ,107,15-Aug-16,Unk,G
a/R®-x/B© ,109,13-Jul-16,M,Def
a/W®-RK/RK© ,104,30-Jun-16,M,G
a/Y®-x/R© ,175,28-Jun-16,M,Def
B/a® - x/W©,287,8-Jan-16,Unk,G
B/a®-x/O©,981,24-Jul-14,Unk,G
B/a®-YK/YK©,981,6-Jul-16,F,G
B/K®-x/a©,126,21-Oct-17,Unk,G
B/R®-x/a©,116,17-Oct-17,Unk,G
B/W®-x/a©,115,18-Oct-17,M,Pre-def
B/Y®-x/a©,285,11-Jan-16,Unk,G
B/YK®-x/a©,133,25-Oct-17,M,Def
BR/YK®-x/a©,124,21-Oct-17,Unk,G
LW/K®-x/a©,101,23-Sep-17,Unk,G
O/a®-x/K©,297,10-Jul-15,M,Def
O/B®-x/a©,291,26-Jul-15,M,Def
O/KR®-x/a©,299,4-Jul-15,M,Def
O/KW®-x/a©,977,22-Jul-14,M,G
PT/a®-x/Y©,110,26-Sep-17,M,Pre-def
PT/KR®-x/a©,299,25-Oct-17,M,Def
PT/PT®-x/a©,944,28-May-13,M,G
R/a®-x/K©,938,26-May-13,M,Def
R/K®-x/a©,966,6-Jul-14,M,G
R/LW®-x/a©,120,17-Oct-17,Unk,G
R/W®-R/a©,108,2-Jul-16,M,Def
R/WR®-x/a©,984,28-Jul-14,Unk,G
RW/a®-x/Y©,121,30-Sep-17,Unk,G
RW/B®-x/a© ,102,12-Jan-17,M,Def
RW/Y®x/a©,111,24-Sep-17,Unk,G
S/K®-x/a©,986,29-Jul-14,Unk,G
S/WR®-x/a©,988,3-Aug-14,Unk,G
W/a®-x/O©,937,26-May-13,M,Def
W/KR®-x/a©,959,6-Jan-15,Unk,G
W/O®-x/a©,976,22-Jul-14,M,G
W/W®-R/a©,113,17-Sep-17,M,Def
WK/WK®-x/a©,982,24-Jul-14,Unk,G
WR/a®-x/B©,298,9-Jul-15,Unk,G
WR/WK®-x/a©,294,19-Jul-15,Unk,G
x/a®-B/B©,987,1-Aug-14,Unk,G
x/a®-B/KR©,288,9-Aug-15,Unk,G
x/a®-BR/Y©,117,29-Sep-17,Unk,G
x/a®-K/YK©,990,6-Aug-14,M,G
x/a®-O/K©,989,3-Aug-14,Unk,G
x/a®-O/O© ,286,9-Jan-16,Unk,G
x/a®-PT/LW©,106,23-Sep-17,Unk,G
x/a®-RK/RK©,940,26-May-13,M,Def
x/a®-RW/RB©,118,29-Sep-17,Unk,G
x/a®-RW/RW©,968,8-Jul-14,Unk,G
x/a®-S/KR©,992,27-Jul-14,Unk,G
x/a®-W/B©,983,28-Jul-14,Unk,G
x/a®-W/K©,127,22-Oct-17,Unk,G
x/a®W/KY©,136,25-Oct-17,M,Pre-def
x/a®-W/R©,964,3-Jul-14,Unk,G
x/a®-WR/Y©,131,25-Oct-17,Unk,G
x/a®-Y/KR©,978,23-Jul-14,M,Def
x/a®-Y/KW©,289,28-Jul-15,Unk,G
x/a®-Y/Y©,973,22-Jul-14,M,Def
x/a®-ZZ/R©,965,3-Jul-14,M,Def
x/a®-ZZ/RK©,296,10-Jul-15,M,Def
x/B®-R/a©,290,27-Jul-15,Unk,G
x/BR®-a/B©,128,21-Oct-17,Unk,G
x/BR®-a/PT©,114,19-Sep-17,M,Pre-def
x/BR®-a/ZZ©,114,30-Sep-17,M,Pre-def
x/K®-W/a©,971,15-Jul-14,Unk,G
x/O®-O/a©,970,14-Jul-14,M,Def
x/O®-x/x©,na,26-May-13,Unk,G
x/R®-RK/a©,980,24-Jul-14,M,Def
x/RW®-WK/a©,112,23-Sep-17,M,Def
x/W®-Y/a©,941,28-May-13,Unk,G
x/WK®-B/a©,985,28-Jul-14,Unk,G
x/Y®-WR/a©,292,26-Jul-15,Unk,G
Y/a®-x/R©,935,28-May-13,F,G
Y/B®-x/a©,293,20-Jul-15,Unk,G
Y/K®-x/a©,948,10-Jun-13,M,G
Y/R®-x/a©,975,22-Jul-14,M,Def
YK/a®-x/Y©,295,14-Jul-15,Unk,G
YK/RK®-x/a©,991,8-Jan-15,Unk,G
YK/YK®-x/a©,300,25-Jun-15,F,G
ZZ/K®-x/a©,972,15-Jul-14,Unk,G
ZZ/ZZ®-x/a©,945,7-Jun-13,M,Def
