UID,Category,ObsDate,Log,Male1ID,FemID,Bird2ID,DisplayShort,DisplayShort_AfterCop,DisplayCode,DisplayCode_AfterCop,Duration
1012,SOLO,2017-10-27,Bare,296,NA,NA,Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;Bow;HafB;Bow;Bow;Bow;Zro;SLAD;HdBw;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro;HafB;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw,NA,DDDDDDDDDDBDEDDDACFDDDDBFFAEDDDDDDBFFF,NA,147.02700000000002
1013,AUDI,2017-10-27,Bare,296,8400,NA,Taf;Neck;Neck;Bow;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;AttC;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck,NA,JIIDIDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDBFMIIIIIIDDIIIII,NA,223
1014,SOLO,2017-10-27,Bare,296,NA,NA,SLAD;SLAD;ALAD;Bow;ALAD;HdBw;Taf;Taf;Zro;Neck;Neck;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;Zro;Zro;SLAD;Zro;ALAD;HdBw;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;SLAD;Zro,NA,CCBDBFJJAIIDBFFFFAACABFDDDDBFACA,NA,229.883
1016,AUDI,2017-10-27,FalseLog,980,8200,NA,Othr;Taf;Taf;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Neck;Taf;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Taf;Taf;Neck;Taf,NA,LJJIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIDDDDDDDDBFFFFFFFFFFFFFFFFFFFFFFFFFFFFIIIIIIIIIIIIIIIIJJJJJJJIJIIIIDDDDDDDDDDDDDDDBFFFFFFFFFFFFFFFFFFFFFFFFFFFFIIIJJIJ,NA,247.19299999999998
1018,SOLO,2017-10-27,FalseLog,980,NA,NA,HafB;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;HafB;Zro;Bow;Bow,NA,EDDDBFAAEADD,NA,69.712
1038,SOLO,2017-10-27,Luis,296,NA,NA,SLAD;Zro;Bow;Bow;Bow;ALAD;HdBw;HafB;ALAD;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,CADDDBFEBDDDBFFA,NA,117.428
1044,AUDI,2017-10-28,Bare,296,8400,NA,Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;Neck;AttC;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf,NA,IIIDDDDDDDIIIIDDDDIIIIIIDDDDDDIIIIIDDDDIIIIDDDDDDIIIIDDDDDDIIIIDDDDDDDDDDDDIIIIIDDDDDDDIIIIDBFFFFIMIIIIIIIHHHHIIIIIIHHHHHHHJJJJJJJJJJ,NA,328.83799999999997
1046,SOLO,2017-10-28,Bare,296,NA,NA,Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,DDDDBFAAADDDBFFA,NA,67.953
105,AUDI,2017-09-18,Bare,296,8300,NA,Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Bow;ALAD;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;HafB;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;HafB;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Taf;Taf;Taf;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Neck;Neck;Taf;Taf;Neck;Neck;Neck;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Taf;Taf;Taf,NA,IDDIIIIIIIIIDDDDDIIDDDIIIIDIIIIDDDDIIIIIIIDDDDDIIDBFFIIIIIIIIIIIIIIIIIIIIIIIDDDDDDDEDDDIIIIDDDIIDDDDIIIDDDIIIDDDIIIIDDDDDDDDDDDDDIIIIIIIIIIDEBFFFFFFDDJJJJHHHHHHHJIIJJIIIDIIIIIIDDIIIIIDIIIIDDDIIIIDDDDDIIIIIDBFFFFFFFFFFFFFFFFFFIHHHHHIIIIIJJJ,NA,381.027
1051,SOLO,2017-10-28,FalseLog,980,NA,NA,Zro;Zro;Othr;SLAD;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;SLAD;Zro;Bow;Bow;Othr;Bow;Bow;ALAD;HdBw;Zro,NA,AALCDDDDBFAACADDLDDBFA,NA,86.87299999999999
