UID,ObsDate,Log,Observer,Time,Male1ID,FemID,Bird2ID,FemOnOff,FemUpDown,Behavior,MaleOtherBeh1
9,9/9/2017,First,NC,0.928,965,NA,NA,Female Off Log,NA,Start,
9,9/9/2017,First,NC,18,965,NA,NA,Female Off Log,NA,Male1 SLAD,
9,9/9/2017,First,NC,18.169,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
9,9/9/2017,First,NC,20.673,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
9,9/9/2017,First,NC,26.94,965,NA,NA,Female Off Log,NA,Male1 ALAD,
9,9/9/2017,First,NC,32.683,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
9,9/9/2017,First,NC,38.701,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
9,9/9/2017,First,NC,63.445,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
9,9/9/2017,First,NC,69.48,965,NA,NA,Female Off Log,NA,Male1 ALAD,
9,9/9/2017,First,NC,70.978,965,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
9,9/9/2017,First,NC,73.469,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
9,9/9/2017,First,NC,78.984,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
9,9/9/2017,First,NC,85.738,965,NA,NA,Female Off Log,NA,End,
15,6/23/2016,First,NC,0.162,296,NA,NA,Female Off Log,NA,Start,
15,6/23/2016,First,NC,5.422,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,7.409,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,13.667,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
15,6/23/2016,First,NC,18.969,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,22.155,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,41.946,296,NA,NA,Female Off Log,NA,Male1 SLAD,
15,6/23/2016,First,NC,42.446,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
15,6/23/2016,First,NC,44.671,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,53.225,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,63.466,296,NA,NA,Female Off Log,NA,Male1 SLAD,
15,6/23/2016,First,NC,63.717,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
15,6/23/2016,First,NC,64.968,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,70.723,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,79.481,296,NA,NA,Female Off Log,NA,Male1 SLAD,
15,6/23/2016,First,NC,79.732,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
15,6/23/2016,First,NC,83.038,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,86.771,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,89.522,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
15,6/23/2016,First,NC,94.748,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
