Behavior,n
Attempted Copulation,11
Bird2 ALAD,55
Bird2 BowLeft,695
Bird2 BowRight,677
Bird2 Half-bow Left,26
Bird2 Half-bow Right,21
Bird2 HeadDownBowing,56
Bird2 Mixed Element,13
Bird2 NeckTwist,1693
Bird2 On-log NO display,79
Bird2 SLAD,1
Bird2 TafLF_Off,28
Bird2 TafLF_On,26
Copulation,24
End,485
Female Looking Away,1736
Female Movement,978
Female Off Log,320
Female On Log,320
Female ResponseToALAD,188
Female Tracking Male,1924
FemaleSwitch,406
Male1 ALAD,1102
Male1 BowLeft,8083
Male1 BowRight,7943
Male1 Half-bow Left,296
Male1 Half-bow Right,258
Male1 HeadDownBowing,2357
Male1 Metronome_Left,11
Male1 Metronome_Right,25
Male1 Mixed Element,361
Male1 NeckTwist,5618
Male1 Off Log,41
Male1 On Log,39
Male1 On Log No Display,2220
Male1 Other Behavior,2139
Male1 SLAD,655
Male1 Switch,1145
Male1 TafLF_Off,1191
Male1 TafLF_On,1220
Start,485
