Band_ID,Banding_Date,Banding_Plumage,SOLO,AUDI,COP,First_Display,Last_Display
112,2017-09-23,Definitive,13,11,0,2017-10-03,2017-12-20
113,2017-09-17,Definitive,5,0,0,2017-11-10,2017-11-20
296,2015-07-10,Definitive,122,41,9,2016-06-24,2017-12-20
299,2017-10-25,Definitive,10,2,0,2017-11-10,2017-11-27
940,2013-05-26,Definitive,2,4,1,2015-01-01,2015-01-14
948,2013-06-10,Predefinitive,1,1,0,2016-08-15,2016-08-15
965,2014-07-03,Definitive,19,4,0,2015-08-06,2017-10-02
976,2014-07-22,Predefinitive,1,1,0,2016-07-30,2016-07-30
978,2014-07-23,Definitive,0,2,0,2015-08-12,2015-08-19
980,2014-07-24,Definitive,71,18,3,2015-08-08,2017-12-20
8000,NA,NA,7,5,0,2015-08-23,2017-10-25
