Band_ID,Banding_Date,Banding_Plumage,AUDI,COP,First_Display,Last_Display,Males_Viewed,Males_Copulated
118,2017-09-29,Green,2,0,2017-11-19,2017-12-07,112;296,
289,2015-07-28,Green,7,0,2017-10-09,2017-12-20,112;980,
292,2015-07-26,Green,1,0,2015-08-23,2015-08-23,8000,
294,2015-07-19,Green,6,0,2015-08-23,2017-11-21,296;8000,
295,2015-07-14,Green,3,1,2015-08-23,2017-12-08,296;299;8000,296
935,2013-05-28,Green,3,0,2016-07-30,2017-12-02,112;296;976,
936,2013-05-26,Green,0,2,2017-11-15,2017-12-10,296,296
959,2015-01-06,Green,0,1,2017-12-06,2017-12-06,296,296
972,2014-07-15,Green,1,0,2017-10-26,2017-10-26,980,
981,2016-07-06,Green,8,0,2016-08-15,2017-12-15,112;296;299;948;965,
984,2014-07-28,Green,1,0,2017-11-26,2017-11-26,296,
988,2014-08-03,Green,1,0,2015-01-10,2015-01-10,940,
8200,NA,NA,27,8,2015-01-01,2017-12-20,112;296;940;965;980;8000,296;980
8300,NA,NA,26,1,2015-01-01,2017-12-20,112;296;299;940;978;980,940
8400,NA,NA,22,0,2017-10-25,2017-12-20,112;113;296;299;980,
