UID,Male1ID,ObsDate,Duration,DisplayLength,Entropy_Scaled,Compression_Ratio,DisplayCode
1455,296,2017-11-15,187,79,0.21834892436360032,4.388888888888889,IIDDDDDDDEDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDEB
1533,296,2017-11-19,128,66,0.11327430349709672,4.714285714285714,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
1558,296,2017-11-20,143,78,0.12472091604955714,4.588235294117647,EDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
1817,296,2017-12-05,84,46,0.25723370245557337,3.066666666666667,IIDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
1824,296,2017-12-06,97,77,0.6321790473226094,2.6551724137931036,IIIIIIIIIIIDDDIIIIIIIIDDDIIIIIIIIDDDDDDDDDDDDDIIIIIIIIIIIIIDDDDDIIIIIIIIIIIDB
1878,296,2017-12-08,134,79,0.4010138040345152,3.16,JJHHHHHHIIIIDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
1920,296,2017-12-10,86,45,0.19354127553125555,3,IDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
1987,296,2017-12-13,96,39,0.5102014539932191,1.95,IIDDDDDDDDDDDDDDDDDDDDDDDDDDDDJJJIIDDDB
2020,296,2017-12-15,213,71,0.13457338838490157,4.733333333333333,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDLDDDDB
5005,940,2015-01-14,70,35,0.2354251220148764,2.3333333333333335,IDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
989,980,2017-10-26,138,52,0.1370994788998177,3.7142857142857144,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
991,980,2017-10-26,127,69,0.3045828185950648,4.6,IIIIIDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
992,980,2017-10-26,132,69,0.1377092129361222,4.6,IDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDB
