UID,Category,maleID,femID,b2ID,hasFemOn,hasFemAction,hasAttCop,hasCop,hasMaleFem,hasB2Action,hasMaleB2
9,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,AUDI,8000,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,AUDI,965,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
81,AUDI,296,294,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,AUDI,296,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
110,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
157,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
190,MULT,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
193,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
211,SOLO,975,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
213,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
220,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
232,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
247,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
248,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
249,MULT,980,,8000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
250,MULT,980,,8000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
251,MULT,980,,8000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
256,AUDI,296,8300,8300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
259,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
260,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
263,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
272,AUDI,965,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
273,MULT,965,295,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
283,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
284,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
285,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
286,SOLO,976,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
288,AUDI,976,935,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
292,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
298,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
301,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
302,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
303,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
315,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
325,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
326,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
336,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
337,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
338,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
339,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
340,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
343,SOLO,8000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
348,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
356,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
363,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
364,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
365,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
368,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
378,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
379,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
389,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
390,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
393,MULT,965,,296,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
395,MULT,296,,965,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
396,AUDI,296,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
397,MULT,296,,965,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
401,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
405,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
407,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
408,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
409,SOLO,965,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
412,MULT,296,,965,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
413,MULT,965,,296,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
422,AUDI,980,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
